country_name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,Lat,Long
Somalia,,169,31,0,11,0,13,1158,246,27,298,-6.314993,143.95555
South Africa,32,3,13,46,40,33,115,48,12,2,5,-23.442503,-58.443832
South Sudan,,99,47,,,,,,,,,-9.189967,-75.015152
Spain,3,0,14,11,5,20,,6,25,20,29,12.879721,121.774017
Sri Lanka,,117,53,254,35,349,57,33,25,6,35493,-24.703615,-127.439308
St Helena,,,,,,,,,,,,51.919438,19.145136
St Kitts And Nevis,,,,,,,,,,,,39.399872,-8.224454
St Lucia,,6,,,10,,,1,,,0,18.220833,-66.590149
St Vincent And The Grenadines,,13,,0,0,,,,,0,0,25.354826,51.183884
Sudan,,76,206,20,36,20,32,734,1169,655,98,-21.115141,55.536384
Suriname,,,,,,,2,,3,,,45.943161,24.96676
Swaziland,,,,,,,0,2,1,0,,61.52401,105.318756
Sweden,,7,,,,,,,,7,,-1.940278,29.873888
Switzerland,,0,11,0,0,0,,1,1,6,,0.18636,6.613081
Syrian Arab Rep,,,,,,,0,,6,,5,-24.143474,-10.030696
Taiwan (China),,10,20,,34,630,54,18,8,33,79,17.357822,-62.782998
Tajikistan,15,0,3,0,96,21,0,49,25,24,0,13.909444,-60.978893
Tanzania Uni Rep,29,,10,37,,50,73,119,70,9,10,46.941936,-56.27111
Thailand,63,84,0,923,260,15,39,53,280,86,8389,12.984305,-61.287228
Timor-Leste,2,,,,,,,1,0,22,,-13.759029,-172.104629
Togo,,7,,,82,0,12,41,0,,,43.94236,12.457777
Tokelau,,,,,,,,,,0,,23.885942,45.079162
Tonga,1,,,0,,9,,,,,0,14.497401,-14.452362
Trinidad And Tobago,,,,,0,,,,,0,3,44.016521,21.005859
Tunisia,,,,,,17,,16,,,,-4.679574,55.491977
Turkey,,7,13,655,64,62,2,19,83,41,85,8.460555,-11.779889
Turkmenistan,,,,,,,,,,,,1.352083,103.819836
Turks And Caicos Is,,,,,,,4,,,,0,48.669026,19.699024
Tuvalu,,,,0,,,,,,,,46.151241,14.995463
Uganda,,41,174,50,436,17,77,165,206,21,3,-9.64571,160.156194
Ukraine,,2,195,,6,32,38,0,803,0,,5.152149,46.199616
United Kingdom,5,772,8,,0,8,8,27,,11,0,-30.559482,22.937506
United States,169,212,318,809,138,145,303,333,326,1973,219,-54.429579,-36.587909
Uruguay,,,,,4,12,,2,,7,0,35.907757,127.766922
Uzbekistan,,,,13,,,,,,0,,40.463667,-3.74922
Vanuatu,12,,,0,,0,0,,0,0,2,7.873054,80.771797
Venezuela,,,0,17,49,0,8,,0,97,40,12.862807,30.217636
Viet Nam,,200,72,138,221,356,411,353,579,324,231,3.919305,-56.027783
Virgin Is (Uk),,,,,,,,,,,,77.553604,23.670272
Virgin Is (Us),,,,,,,,,,,0,-26.522503,31.465866
Wallis And Futuna Is,,,0,,,,,,,,,60.128161,18.643501
Yemen,,40,,,22,11,90,99,30,87,,46.818188,8.227512
Zambia,,0,2,0,9,118,177,19,5,21,2,34.802075,38.996815
Zimbabwe,125,,45,8,55,4276,94,,87,,50,23.69781,120.960515
